"Avg Spend Level";"Category";"District";"subdistrict";"Highest Price";"Lowest Price";"Average Price"
1;"Minuman, Aneka nasi, Ayam & bebek";"Semarang Tengah";"Kembangsari";1400000;3000;53614
2;"Ayam & bebek";"Semarang Tengah";"Kembangsari";65000;2000;18509
2;"Aneka nasi, Ayam & bebek";"Semarang Tengah";"Sekayu";25000;5000;12333
2;"Ayam & bebek";"Semarang Tengah";"Kembangsari";48000;3000;20893
1;"Ayam & bebek";"Semarang Tengah";"Sekayu";18300;3500;12227
2;"Jajanan, Aneka nasi, Ayam & bebek";"Semarang Selatan";"Mugassari";35000;4000;19430
2;"Aneka nasi, Ayam & bebek, Seafood";"Semarang Selatan";"Mugassari";35000;3000;20794
3;"Cepat saji, Aneka nasi, Ayam & bebek";"Semarang Utara";"Purwosari";223500;8500;56577
1;"Ayam & bebek";"Semarang Selatan";"Mugassari";19000;5000;12457
3;"Cepat saji, Aneka nasi, Jajanan, Ayam & bebek";"Semarang Selatan";"Mugassari";148500;9000;55078
2;"Ayam & bebek";"Semarang Selatan";"Mugassari";30000;4000;16794
1;"Ayam & bebek";"Semarang Selatan";"Mugassari";30000;4000;16690
3;"Ayam & bebek, Sate, Seafood";"Semarang Tengah";"Pendrikan Kidul";70000;5000;21927
2;"Minuman, Aneka nasi, Ayam & bebek";"Semarang Tengah";"Pendrikan Kidul";38500;12500;25184
2;"Aneka nasi, Ayam & bebek, Minuman";"Semarang Utara";"Purwosari";99000;4000;20068
1;"Aneka nasi, Ayam & bebek";"Semarang Selatan";"Mugassari";15000;13000;14000
2;"Ayam & bebek, Bakmie";"Semarang Utara";"Purwosari";92000;4000;17648
1;"Aneka nasi, Ayam & bebek, Cepat saji";"Semarang Tengah";"Brumbungan";57000;2500;18180
1;"Ayam & bebek, Cepat saji, Aneka nasi";"Semarang Utara";"Plombokan";60000;3000;22850
2;"Minuman, Aneka nasi, Ayam & bebek";"Semarang Utara";"Purwosari";28000;3000;15433